name,vsini,ror,b,ref_link
name,pl_imppar,pl_ratror,st_vsin,https://exoplanetarchive.ipac.caltech.edu/overview/name
OGLE-2016-BLG-0007L b,,,,https://exoplanetarchive.ipac.caltech.edu/overview/OGLE-2016-BLG-0007L%20b
HAT-P-16 b,0.439,0.1071,3.5,https://exoplanetarchive.ipac.caltech.edu/overview/HAT-P-16%20b
HAT-P-1 b,0.7501,0.11802,2.2,https://exoplanetarchive.ipac.caltech.edu/overview/HAT-P-1%20b
HAT-P-6 b,0.602,0.0934,7.8,https://exoplanetarchive.ipac.caltech.edu/overview/HAT-P-6%20b
KELT-1 b,0.232,0.0771,56.0,https://exoplanetarchive.ipac.caltech.edu/overview/KELT-1%20b
Kepler-289 d,0.05,0.027,,https://exoplanetarchive.ipac.caltech.edu/overview/Kepler-289%20d
HD 219134 b,0.9245,0.0189,0.4,https://exoplanetarchive.ipac.caltech.edu/overview/HD%20219134%20b
HD 219134 c,0.813,0.01776,0.4,https://exoplanetarchive.ipac.caltech.edu/overview/HD%20219134%20c
HD 219134 d,,,0.4,https://exoplanetarchive.ipac.caltech.edu/overview/HD%20219134%20d
HD 219134 f,,,0.4,https://exoplanetarchive.ipac.caltech.edu/overview/HD%20219134%20f
HD 219134 g,,,0.4,https://exoplanetarchive.ipac.caltech.edu/overview/HD%20219134%20g
HD 219134 h,,,0.4,https://exoplanetarchive.ipac.caltech.edu/overview/HD%20219134%20h
LTT 9779 b,,0.0455,1.06,https://exoplanetarchive.ipac.caltech.edu/overview/LTT%209779%20b
WASP-187 b,0.76,,15.3,https://exoplanetarchive.ipac.caltech.edu/overview/WASP-187%20b
TOI-2285 b,0.44,0.0348,,https://exoplanetarchive.ipac.caltech.edu/overview/TOI-2285%20b
Kepler-18 c,0.593,0.04549,4.0,https://exoplanetarchive.ipac.caltech.edu/overview/Kepler-18%20c
HIP 8152 b,0.518763,0.02421345,,https://exoplanetarchive.ipac.caltech.edu/overview/HIP%208152%20b
HIP 8152 c,0.396637,0.02410048,,https://exoplanetarchive.ipac.caltech.edu/overview/HIP%208152%20c
TOI-286 b,0.6,,,https://exoplanetarchive.ipac.caltech.edu/overview/TOI-286%20b
TOI-286 c,0.32,,,https://exoplanetarchive.ipac.caltech.edu/overview/TOI-286%20c
TOI-406.01,0.43,0.0466,,https://exofop.ipac.caltech.edu/tess/target.php?id=153065527
TOI-406 c,0.73,0.0297,,https://exoplanetarchive.ipac.caltech.edu/overview/TOI-406%20c
HD 25463 b,0.532442,0.01645417,,https://exoplanetarchive.ipac.caltech.edu/overview/HD%2025463%20b
HD 25463 c,0.689382,0.00881451,,https://exoplanetarchive.ipac.caltech.edu/overview/HD%2025463%20c
TOI-654.01,,0.0505151,,https://exofop.ipac.caltech.edu/tess/target.php?id=35009898
TOI-663 b,0.19,0.0407,,https://exoplanetarchive.ipac.caltech.edu/overview/TOI-663%20b
TOI-663 c,0.23,0.0404,,https://exoplanetarchive.ipac.caltech.edu/overview/TOI-663%20c
TOI-663 d,0.17,0.0345,,https://exoplanetarchive.ipac.caltech.edu/overview/TOI-663%20d
TOI-669 b,0.338682,0.02399201,,https://exoplanetarchive.ipac.caltech.edu/overview/TOI-669%20b
TOI-757 b,0.3,0.0299,2.4,https://exoplanetarchive.ipac.caltech.edu/overview/TOI-757%20b
TOI-762 A b,0.7556,0.17985,,https://exoplanetarchive.ipac.caltech.edu/overview/TOI-762%20A%20b
TOI-771 b,0.22,0.05369,,https://exoplanetarchive.ipac.caltech.edu/overview/TOI-771%20b
TOI-782 b,0.46,0.0606,,https://exoplanetarchive.ipac.caltech.edu/overview/TOI-782%20b
TOI-871 b,0.3,0.021,,https://exoplanetarchive.ipac.caltech.edu/overview/TOI-871%20b
TOI-880.02,,0.03114649,,https://exofop.ipac.caltech.edu/tess/target.php?id=34077285
TOI-907.01,,0.04276385,,https://exofop.ipac.caltech.edu/tess/target.php?id=305424003
TOI-1437 b,0.24,0.01746,,https://exoplanetarchive.ipac.caltech.edu/overview/TOI-1437%20b
HD 6061 b,0.282173,0.02209837,,https://exoplanetarchive.ipac.caltech.edu/overview/HD%206061%20b
TOI-1836 b,0.48,0.04651,4.0,https://exoplanetarchive.ipac.caltech.edu/overview/TOI-1836%20b
TOI-1836 c,0.623403,0.01448647,6.3,https://exoplanetarchive.ipac.caltech.edu/overview/TOI-1836%20c
TOI-2000 c,0.631,0.06581,2.99,https://exoplanetarchive.ipac.caltech.edu/overview/TOI-2000%20c
TOI-2000 b,0.77,0.02182,2.99,https://exoplanetarchive.ipac.caltech.edu/overview/TOI-2000%20b
Kepler-289 c,0.394,0.10297,,https://exoplanetarchive.ipac.caltech.edu/overview/Kepler-289%20c
TOI-2714 b,0.41,0.101,2.9,https://exoplanetarchive.ipac.caltech.edu/overview/TOI-2714%20b
TOI-2768 b,0.34,0.0434,,https://exoplanetarchive.ipac.caltech.edu/overview/TOI-2768%20b
TOI-2981 b,0.34,0.114,3.4,https://exoplanetarchive.ipac.caltech.edu/overview/TOI-2981%20b
TOI-3071 b,0.56,0.05,2.0,https://exoplanetarchive.ipac.caltech.edu/overview/TOI-3071%20b
NGTS-27 b,,0.081,1.6,https://exoplanetarchive.ipac.caltech.edu/overview/NGTS-27%20b
TOI-3261 b,0.17,0.0411,2.83,https://exoplanetarchive.ipac.caltech.edu/overview/TOI-3261%20b
TOI-3321 b,0.42,0.0921,5.19,https://exoplanetarchive.ipac.caltech.edu/overview/TOI-3321%20b
TOI-3353.01,,0.02393291,,https://exofop.ipac.caltech.edu/tess/target.php?id=391903064
TOI-3837 b,0.745,0.083,3.47,https://exoplanetarchive.ipac.caltech.edu/overview/TOI-3837%20b
TOI-3894 b,0.7,0.09302,5.27,https://exoplanetarchive.ipac.caltech.edu/overview/TOI-3894%20b
TOI-3919 b,0.835,0.0856,7.73,https://exoplanetarchive.ipac.caltech.edu/overview/TOI-3919%20b
TOI-4153 b,0.184,0.0921,9.44,https://exoplanetarchive.ipac.caltech.edu/overview/TOI-4153%20b
